文件,RMU,RMU框ID,范围,设备角色,XML元素,元素ID,设备名,key_name,旋转角度,问题类型,不符合原因,当前devref,标准devref,当前尺寸,标准尺寸,当前位置,标准建议位置,关联连接线
JED-NTH-ABH-12.sln.pic.g,30844,2000840,NORMAL,BREAKER,CBreakerDis,117000842,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2502, 3583) 调整为 (2496, 3581)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2502, 3583)","(2496, 3581)","34001732, 34001729"
JED-NTH-ABH-12.sln.pic.g,30901,2000871,NORMAL,BREAKER,CBreakerDis,117000873,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2880, 3586) 调整为 (2874, 3584)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2880, 3586)","(2874, 3584)","34001733, 34001736"
JED-NTH-ABH-12.sln.pic.g,30898,2000938,NORMAL,BREAKER,CBreakerDis,117000940,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1441, 4084) 调整为 (1435, 4082)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1441, 4084)","(1435, 4082)","34000949, 34000960"
JED-NTH-ABH-12.sln.pic.g,30877,2000967,NORMAL,BREAKER,CBreakerDis,117000969,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1795, 4083) 调整为 (1789, 4081)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1795, 4083)","(1789, 4081)","34000978, 34000989"
JED-NTH-ABH-12.sln.pic.g,30824,2000997,NORMAL,BREAKER,CBreakerDis,117000999,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2150, 4083) 调整为 (2144, 4081)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2150, 4083)","(2144, 4081)","34001008, 34001019"
JED-NTH-ABH-12.sln.pic.g,30867,2001026,NORMAL,BREAKER,CBreakerDis,117001028,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2506, 4082) 调整为 (2500, 4080)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2506, 4082)","(2500, 4080)","34001037, 34001048"
JED-NTH-ABH-12.sln.pic.g,30853,2001057,NORMAL,BREAKER,CBreakerDis,117001059,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2884, 4080) 调整为 (2878, 4078)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2884, 4080)","(2878, 4078)","34001068, 34001079"
JED-NTH-ABH-12.sln.pic.g,30821,2001090,NORMAL,BREAKER,CBreakerDis,117001092,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1446, 4622) 调整为 (1440, 4620)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1446, 4622)","(1440, 4620)","34001101, 34001112"
JED-NTH-ABH-12.sln.pic.g,30872,2001119,NORMAL,BREAKER,CBreakerDis,117001121,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1800, 4621) 调整为 (1794, 4619)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1800, 4621)","(1794, 4619)","34001130, 34001141"
JED-NTH-ABH-12.sln.pic.g,30883,2001150,NORMAL,BREAKER,CBreakerDis,117001152,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2511, 4624) 调整为 (2505, 4622)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2511, 4624)","(2505, 4622)","34001161, 34001172"
JED-NTH-ABH-12.sln.pic.g,30891,2001246,NORMAL,BREAKER,CBreakerDis,117001248,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2912, 4620) 调整为 (2906, 4618)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2912, 4620)","(2906, 4618)","34001257, 34001268"
JED-NTH-ABH-12.sln.pic.g,30836,2001357,NORMAL,BREAKER,CBreakerDis,117001359,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1435, 5216) 调整为 (1429, 5214)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1435, 5216)","(1429, 5214)","34001368, 34001379"
JED-NTH-ABH-12.sln.pic.g,30875,2001386,NORMAL,BREAKER,CBreakerDis,117001388,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1789, 5215) 调整为 (1783, 5213)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1789, 5215)","(1783, 5213)","34001397, 34001408"
JED-NTH-ABH-12.sln.pic.g,30851,2001479,NORMAL,BREAKER,CBreakerDis,117001481,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2901, 5214) 调整为 (2895, 5212)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2901, 5214)","(2895, 5212)","34001490, 34001501"
JED-NTH-ABH-12.sln.pic.g,30913,2001417,NORMAL,BREAKER,CBreakerDis,117001419,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2500, 5218) 调整为 (2494, 5216)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2500, 5218)","(2494, 5216)","34001428, 34001439"
